restaurant_id,restaurant_name,city,opening_hours
1,"Zaika Cafe",Delhi,"9:00 AM - 10:30 PM"
2,"Annapurna Lounge",Delhi,"9:00 AM - 11:30 PM"
3,"Taste of Grill",Chandigarh,"8:00 AM - 11:30 PM"
4,"Swaad Flavors",Hyderabad,"9:00 AM - 10:30 PM"
5,"Biryani Kitchen",Goa,"9:00 AM - 10:30 PM"
6,"Bombay Bar",Mumbai,"9:00 AM - 10:30 PM"
7,"Curry Point",Ahmedabad,"9:00 AM - 10:00 PM"
8,"Urban Canteen",Delhi,"10:00 AM - 10:30 PM"
9,"Curry Street",Pune,"11:30 AM - 11:00 PM"
10,"House of Lounge",Lucknow,"8:00 AM - 11:00 PM"
11,"Swaad Table",Ahmedabad,"9:00 AM - 12:00 AM"
12,"House of Street",Mumbai,"8:00 AM - 11:00 PM"
13,"Spice Table",Kolkata,"10:00 AM - 11:00 PM"
14,"Urban Table",Kolkata,"11:30 AM - 10:00 PM"
15,"Cafe Bistro",Hyderabad,"10:00 AM - 10:00 PM"
16,"Swaad Kitchen",Lucknow,"11:30 AM - 10:30 PM"
17,"Zaika Flavors",Bengaluru,"11:30 AM - 12:00 AM"
18,"Cafe Haven",Lucknow,"10:00 AM - 11:00 PM"
19,"Spice Cafe",Chennai,"11:30 AM - 12:00 AM"
20,"Spice Lounge",Lucknow,"10:00 AM - 10:30 PM"
21,"House of Haven",Goa,"11:30 AM - 10:00 PM"
22,"Swaad Point",Chandigarh,"8:00 AM - 12:00 AM"
23,"Spice Palace",Jaipur,"8:00 AM - 10:30 PM"
24,"House of Kitchen",Mumbai,"10:00 AM - 12:00 AM"
25,"Annapurna Table",Chennai,"8:00 AM - 11:30 PM"
26,"Curry Cafe",Bengaluru,"8:00 AM - 11:00 PM"
27,"Spice Palace",Goa,"11:30 AM - 12:00 AM"
28,"Curry Canteen",Chandigarh,"9:00 AM - 12:00 AM"
29,"Royal Haven",Bengaluru,"10:00 AM - 11:30 PM"
30,"Zaika Palace",Mumbai,"11:30 AM - 11:30 PM"
31,"Taste of Delight",Jaipur,"9:00 AM - 10:30 PM"
32,"Biryani Street",Chennai,"8:00 AM - 10:30 PM"
33,"Spice Flavors",Bengaluru,"11:30 AM - 12:00 AM"
34,"House of Bar",Pune,"10:00 AM - 10:00 PM"
35,"Zaika Haven",Jaipur,"11:30 AM - 10:30 PM"
36,"Spice Lounge",Mumbai,"11:30 AM - 11:30 PM"
37,"House of Kitchen",Kolkata,"9:00 AM - 11:00 PM"
38,"Curry Lounge",Kolkata,"8:00 AM - 11:00 PM"
39,"Royal Bistro",Kolkata,"8:00 AM - 11:00 PM"
40,"Bombay Palace",Bengaluru,"9:00 AM - 12:00 AM"
41,"Annapurna Palace",Kolkata,"8:00 AM - 10:30 PM"
42,"Biryani Kitchen",Pune,"8:00 AM - 11:30 PM"
43,"Annapurna Bistro",Delhi,"9:00 AM - 10:00 PM"
44,"Urban Lounge",Ahmedabad,"11:30 AM - 10:00 PM"
45,"Tandoor Kitchen",Jaipur,"11:30 AM - 11:30 PM"
46,"Tandoor Haven",Delhi,"9:00 AM - 12:00 AM"
47,"The Kitchen",Kolkata,"8:00 AM - 10:30 PM"
48,"Swaad Haven",Lucknow,"8:00 AM - 10:30 PM"
49,"Swaad Haven",Bengaluru,"11:30 AM - 10:30 PM"
50,"Tandoor Bar",Goa,"11:30 AM - 10:00 PM"
51,"Bombay Palace",Pune,"11:30 AM - 11:00 PM"
52,"Cafe Lounge",Hyderabad,"8:00 AM - 11:30 PM"
53,"Urban Cafe",Chandigarh,"8:00 AM - 12:00 AM"
54,"Royal Bar",Mumbai,"9:00 AM - 11:30 PM"
55,"Urban Palace",Lucknow,"10:00 AM - 11:00 PM"
56,"Urban Kitchen",Goa,"10:00 AM - 11:00 PM"
57,"Zaika Cafe",Pune,"8:00 AM - 11:30 PM"
58,"Masala Bar",Chennai,"8:00 AM - 11:00 PM"
59,"Spice Point",Hyderabad,"11:30 AM - 11:30 PM"
60,"Tandoor Delight",Ahmedabad,"10:00 AM - 12:00 AM"
61,"Bombay Bar",Delhi,"11:30 AM - 10:30 PM"
62,"The Bistro",Mumbai,"9:00 AM - 10:30 PM"
63,"Bombay Canteen",Mumbai,"9:00 AM - 11:30 PM"
64,"Zaika Table",Ahmedabad,"8:00 AM - 11:00 PM"
65,"Urban Delight",Bengaluru,"11:30 AM - 12:00 AM"
66,"Cafe Bar",Delhi,"11:30 AM - 11:30 PM"
67,"House of Grill",Jaipur,"9:00 AM - 11:00 PM"
68,"Taste of Grill",Mumbai,"10:00 AM - 10:30 PM"
69,"House of Bistro",Kolkata,"10:00 AM - 10:30 PM"
70,"House of Table",Ahmedabad,"9:00 AM - 10:30 PM"
71,"Annapurna Bar",Lucknow,"11:30 AM - 10:30 PM"
72,"Urban Grill",Jaipur,"11:30 AM - 11:00 PM"
73,"Annapurna Corner",Kolkata,"10:00 AM - 12:00 AM"
74,"Tandoor Bistro",Chennai,"11:30 AM - 10:30 PM"
75,"House of Table",Ahmedabad,"8:00 AM - 12:00 AM"
76,"Zaika Table",Chandigarh,"11:30 AM - 10:30 PM"
77,"Annapurna Canteen",Delhi,"9:00 AM - 10:30 PM"
78,"Urban Palace",Mumbai,"11:30 AM - 12:00 AM"
79,"Masala Street",Lucknow,"11:30 AM - 10:00 PM"
80,"Cafe Street",Delhi,"11:30 AM - 11:30 PM"
81,"Curry Haven",Pune,"11:30 AM - 10:30 PM"
82,"The Grill",Delhi,"8:00 AM - 12:00 AM"
83,"House of Bistro",Pune,"9:00 AM - 10:00 PM"
84,"The Corner",Mumbai,"10:00 AM - 11:30 PM"
85,"Bombay Table",Kolkata,"8:00 AM - 10:30 PM"
86,"Spice Delight",Pune,"9:00 AM - 10:30 PM"
87,"Masala Grill",Delhi,"10:00 AM - 10:30 PM"
88,"House of Corner",Pune,"8:00 AM - 10:00 PM"
89,"Royal Canteen",Goa,"8:00 AM - 11:00 PM"
90,"Taste of Corner",Pune,"8:00 AM - 12:00 AM"
91,"Taste of Kitchen",Chennai,"8:00 AM - 11:30 PM"
92,"Urban Bistro",Kolkata,"10:00 AM - 10:30 PM"
93,"House of Cafe",Pune,"11:30 AM - 11:30 PM"
94,"Annapurna Kitchen",Kolkata,"8:00 AM - 11:00 PM"
95,"Cafe Haven",Bengaluru,"9:00 AM - 10:00 PM"
96,"Taste of Cafe",Lucknow,"11:30 AM - 12:00 AM"
97,"Royal Grill",Pune,"10:00 AM - 10:00 PM"
98,"Royal Bar",Delhi,"11:30 AM - 12:00 AM"
99,"Masala Cafe",Pune,"8:00 AM - 10:30 PM"
100,"Tandoor Bar",Lucknow,"9:00 AM - 10:00 PM"
101,"Tandoor Palace",Lucknow,"9:00 AM - 11:00 PM"
102,"Masala Flavors",Jaipur,"10:00 AM - 11:00 PM"
103,"Urban Canteen",Chandigarh,"9:00 AM - 11:00 PM"
104,"Bombay Bar",Jaipur,"8:00 AM - 10:00 PM"
105,"Royal Point",Mumbai,"10:00 AM - 12:00 AM"
106,"Zaika Bar",Lucknow,"10:00 AM - 12:00 AM"
107,"Zaika Cafe",Jaipur,"10:00 AM - 10:00 PM"
108,"Swaad Canteen",Jaipur,"11:30 AM - 10:30 PM"
109,"Bombay Grill",Ahmedabad,"9:00 AM - 10:00 PM"
110,"Cafe Haven",Bengaluru,"10:00 AM - 12:00 AM"
111,"The Lounge",Kolkata,"9:00 AM - 10:30 PM"
112,"Cafe Palace",Kolkata,"10:00 AM - 11:00 PM"
113,"Taste of Street",Chandigarh,"9:00 AM - 12:00 AM"
114,"House of Cafe",Kolkata,"8:00 AM - 11:30 PM"
115,"The Bar",Delhi,"8:00 AM - 12:00 AM"
116,"Swaad Table",Chandigarh,"8:00 AM - 12:00 AM"
117,"Taste of Table",Mumbai,"10:00 AM - 11:00 PM"
118,"Annapurna Lounge",Delhi,"8:00 AM - 12:00 AM"
119,"House of Bistro",Chandigarh,"9:00 AM - 10:00 PM"
120,"The Haven",Chandigarh,"11:30 AM - 10:00 PM"
121,"Swaad Palace",Chennai,"10:00 AM - 10:30 PM"
122,"Cafe Bar",Hyderabad,"10:00 AM - 11:30 PM"
123,"Royal Bar",Ahmedabad,"9:00 AM - 12:00 AM"
124,"Curry Point",Kolkata,"10:00 AM - 12:00 AM"
125,"Cafe Point",Chandigarh,"11:30 AM - 11:00 PM"
126,"Bombay Kitchen",Kolkata,"8:00 AM - 10:00 PM"
127,"Cafe Grill",Jaipur,"10:00 AM - 12:00 AM"
128,"Taste of Canteen",Jaipur,"10:00 AM - 10:30 PM"
129,"Taste of Corner",Chandigarh,"8:00 AM - 12:00 AM"
130,"Spice Kitchen",Pune,"9:00 AM - 10:00 PM"
131,"Urban Delight",Chennai,"9:00 AM - 10:30 PM"
132,"Tandoor Flavors",Goa,"11:30 AM - 10:30 PM"
133,"Annapurna Cafe",Hyderabad,"8:00 AM - 10:00 PM"
134,"Spice Haven",Mumbai,"9:00 AM - 11:00 PM"
135,"Bombay Bistro",Ahmedabad,"8:00 AM - 10:30 PM"
136,"The Point",Ahmedabad,"8:00 AM - 10:00 PM"
137,"Royal Corner",Chennai,"10:00 AM - 11:30 PM"
138,"Masala Bar",Kolkata,"9:00 AM - 11:30 PM"
139,"Curry Flavors",Chandigarh,"9:00 AM - 10:00 PM"
140,"Swaad Corner",Mumbai,"11:30 AM - 11:30 PM"
141,"Bombay Cafe",Mumbai,"8:00 AM - 11:00 PM"
142,"Cafe Canteen",Jaipur,"11:30 AM - 12:00 AM"
143,"Royal Flavors",Mumbai,"10:00 AM - 12:00 AM"
144,"Taste of Street",Ahmedabad,"8:00 AM - 11:00 PM"
145,"Swaad Street",Mumbai,"11:30 AM - 11:00 PM"
146,"House of Haven",Ahmedabad,"8:00 AM - 10:30 PM"
147,"The Kitchen",Hyderabad,"10:00 AM - 12:00 AM"
148,"House of Flavors",Hyderabad,"9:00 AM - 11:30 PM"
149,"Masala Flavors",Delhi,"10:00 AM - 11:30 PM"
150,"The Corner",Kolkata,"9:00 AM - 10:30 PM"
151,"House of Point",Pune,"8:00 AM - 10:00 PM"
152,"Urban Point",Hyderabad,"10:00 AM - 12:00 AM"
153,"Tandoor Street",Mumbai,"9:00 AM - 11:30 PM"
154,"Annapurna Bar",Chennai,"10:00 AM - 12:00 AM"
155,"Cafe Corner",Bengaluru,"9:00 AM - 10:30 PM"
156,"Royal Point",Mumbai,"10:00 AM - 10:30 PM"
157,"Curry Bistro",Bengaluru,"11:30 AM - 10:30 PM"
158,"Annapurna Canteen",Chandigarh,"8:00 AM - 10:30 PM"
159,"Urban Delight",Chandigarh,"9:00 AM - 12:00 AM"
160,"Tandoor Point",Delhi,"10:00 AM - 10:00 PM"
161,"Tandoor Canteen",Mumbai,"10:00 AM - 10:00 PM"
162,"Spice Table",Hyderabad,"8:00 AM - 11:00 PM"
163,"Masala Corner",Ahmedabad,"9:00 AM - 10:30 PM"
164,"Taste of Street",Hyderabad,"10:00 AM - 10:00 PM"
165,"Cafe Bar",Chennai,"11:30 AM - 10:00 PM"
166,"Spice Bar",Delhi,"8:00 AM - 10:30 PM"
167,"Cafe Street",Jaipur,"11:30 AM - 11:30 PM"
168,"Biryani Lounge",Goa,"10:00 AM - 12:00 AM"
169,"House of Flavors",Goa,"8:00 AM - 10:00 PM"
170,"Spice Delight",Kolkata,"11:30 AM - 11:30 PM"
171,"The Table",Chandigarh,"8:00 AM - 10:00 PM"
172,"Swaad Delight",Hyderabad,"8:00 AM - 11:30 PM"
173,"Tandoor Canteen",Chennai,"8:00 AM - 12:00 AM"
174,"Annapurna Point",Chennai,"9:00 AM - 12:00 AM"
175,"Cafe Grill",Goa,"9:00 AM - 10:30 PM"
176,"Spice Point",Hyderabad,"11:30 AM - 10:30 PM"
177,"Taste of Bar",Kolkata,"11:30 AM - 10:30 PM"
178,"Annapurna Canteen",Mumbai,"10:00 AM - 11:30 PM"
179,"Curry Palace",Chennai,"11:30 AM - 11:30 PM"
180,"Swaad Kitchen",Bengaluru,"9:00 AM - 11:00 PM"
181,"The Grill",Jaipur,"9:00 AM - 12:00 AM"
182,"Tandoor Bistro",Kolkata,"9:00 AM - 10:00 PM"
183,"Spice Bistro",Goa,"8:00 AM - 10:30 PM"
184,"Urban Cafe",Ahmedabad,"9:00 AM - 11:30 PM"
185,"The Haven",Pune,"10:00 AM - 11:00 PM"
186,"Cafe Point",Chennai,"10:00 AM - 11:30 PM"
187,"Cafe Grill",Bengaluru,"11:30 AM - 12:00 AM"
188,"Cafe Haven",Jaipur,"8:00 AM - 10:00 PM"
189,"Annapurna Haven",Kolkata,"9:00 AM - 10:00 PM"
190,"Taste of Bar",Jaipur,"10:00 AM - 11:00 PM"
191,"Annapurna Haven",Kolkata,"9:00 AM - 11:30 PM"
192,"Royal Delight",Kolkata,"8:00 AM - 12:00 AM"
193,"Swaad Canteen",Chandigarh,"8:00 AM - 10:00 PM"
194,"Zaika Point",Hyderabad,"11:30 AM - 11:00 PM"
195,"Tandoor Grill",Bengaluru,"8:00 AM - 11:00 PM"
196,"Annapurna Flavors",Bengaluru,"11:30 AM - 12:00 AM"
197,"Royal Lounge",Delhi,"8:00 AM - 12:00 AM"
198,"Masala Haven",Chandigarh,"9:00 AM - 11:30 PM"
199,"Royal Point",Mumbai,"9:00 AM - 12:00 AM"
200,"Royal Grill",Chandigarh,"11:30 AM - 10:00 PM"
201,"House of Lounge",Lucknow,"11:30 AM - 10:00 PM"
202,"Masala Point",Jaipur,"11:30 AM - 10:00 PM"
203,"Annapurna Cafe",Pune,"11:30 AM - 11:30 PM"
204,"Urban Palace",Goa,"8:00 AM - 12:00 AM"
205,"House of Table",Chennai,"8:00 AM - 10:30 PM"
206,"Royal Flavors",Goa,"11:30 AM - 11:30 PM"
207,"Masala Street",Goa,"10:00 AM - 12:00 AM"
208,"Swaad Cafe",Chennai,"10:00 AM - 10:30 PM"
209,"Taste of Kitchen",Lucknow,"9:00 AM - 11:30 PM"
210,"Bombay Bar",Mumbai,"10:00 AM - 12:00 AM"
211,"Taste of Bar",Mumbai,"9:00 AM - 11:00 PM"
212,"Tandoor Point",Jaipur,"8:00 AM - 12:00 AM"
213,"Tandoor Delight",Chennai,"9:00 AM - 10:30 PM"
214,"Cafe Flavors",Hyderabad,"11:30 AM - 12:00 AM"
215,"Bombay Haven",Ahmedabad,"10:00 AM - 10:00 PM"
216,"Royal Haven",Pune,"11:30 AM - 11:00 PM"
217,"The Cafe",Chandigarh,"8:00 AM - 10:00 PM"
218,"Swaad Bistro",Chennai,"10:00 AM - 11:30 PM"
219,"Annapurna Cafe",Chennai,"9:00 AM - 10:00 PM"
220,"Biryani Point",Pune,"11:30 AM - 11:00 PM"
221,"Masala Point",Goa,"11:30 AM - 10:30 PM"
222,"Biryani Haven",Ahmedabad,"10:00 AM - 10:30 PM"
223,"Cafe Street",Bengaluru,"9:00 AM - 11:00 PM"
224,"Masala Bistro",Chennai,"11:30 AM - 10:30 PM"
225,"Royal Lounge",Mumbai,"11:30 AM - 12:00 AM"
226,"Zaika Canteen",Kolkata,"11:30 AM - 12:00 AM"
227,"Biryani Table",Chandigarh,"9:00 AM - 12:00 AM"
228,"Spice Bistro",Bengaluru,"10:00 AM - 10:00 PM"
229,"Curry Lounge",Pune,"9:00 AM - 10:30 PM"
230,"Swaad Cafe",Delhi,"8:00 AM - 10:00 PM"
231,"House of Delight",Hyderabad,"9:00 AM - 11:00 PM"
232,"Biryani Delight",Jaipur,"9:00 AM - 10:00 PM"
233,"Taste of Street",Delhi,"9:00 AM - 11:00 PM"
234,"Cafe Grill",Jaipur,"10:00 AM - 10:30 PM"
235,"The Flavors",Bengaluru,"10:00 AM - 10:30 PM"
236,"The Canteen",Bengaluru,"10:00 AM - 11:30 PM"
237,"Curry Haven",Goa,"11:30 AM - 11:30 PM"
238,"House of Grill",Pune,"9:00 AM - 11:00 PM"
239,"House of Lounge",Ahmedabad,"10:00 AM - 11:30 PM"
240,"Curry Delight",Delhi,"8:00 AM - 10:00 PM"
241,"Royal Point",Bengaluru,"9:00 AM - 10:00 PM"
242,"Masala Corner",Hyderabad,"10:00 AM - 12:00 AM"
243,"Royal Bar",Lucknow,"10:00 AM - 11:30 PM"
244,"Royal Grill",Hyderabad,"8:00 AM - 10:30 PM"
245,"The Table",Ahmedabad,"10:00 AM - 10:30 PM"
246,"Urban Bistro",Chandigarh,"11:30 AM - 10:30 PM"
247,"Biryani Grill",Delhi,"9:00 AM - 11:00 PM"
248,"Tandoor Lounge",Ahmedabad,"8:00 AM - 11:30 PM"
249,"The Palace",Hyderabad,"11:30 AM - 11:00 PM"
250,"Biryani Bistro",Ahmedabad,"8:00 AM - 11:00 PM"
251,"Zaika Flavors",Chennai,"10:00 AM - 10:00 PM"
252,"Bombay Haven",Jaipur,"11:30 AM - 10:30 PM"
253,"The Grill",Mumbai,"10:00 AM - 11:30 PM"
254,"Cafe Flavors",Jaipur,"10:00 AM - 10:30 PM"
255,"Biryani Street",Mumbai,"11:30 AM - 11:00 PM"
256,"Masala Street",Goa,"10:00 AM - 11:30 PM"
257,"Taste of Grill",Kolkata,"8:00 AM - 11:00 PM"
258,"Annapurna Palace",Lucknow,"11:30 AM - 12:00 AM"
259,"Swaad Delight",Ahmedabad,"8:00 AM - 11:30 PM"
260,"Masala Haven",Pune,"11:30 AM - 10:00 PM"
261,"Bombay Street",Jaipur,"11:30 AM - 10:00 PM"
262,"Bombay Flavors",Jaipur,"8:00 AM - 10:00 PM"
263,"Tandoor Bar",Jaipur,"9:00 AM - 10:30 PM"
264,"The Table",Pune,"9:00 AM - 10:00 PM"
265,"Zaika Haven",Pune,"11:30 AM - 12:00 AM"
266,"Masala Cafe",Bengaluru,"11:30 AM - 11:30 PM"
267,"Cafe Canteen",Bengaluru,"9:00 AM - 11:30 PM"
268,"Taste of Bar",Kolkata,"11:30 AM - 11:00 PM"
